Filename,Output Written,Time Taken for Disambiguation,Compilable
11616716.java,True,1.2162599563598633,True
726934.java,True,1.7668721675872803,True
7872661.java,True,1.7169387340545654,True
8150996.java,True,1.368095874786377,True
6893385.java,True,2.267744541168213,True
17111859.java,True,1.5164966583251953,True
14847921.java,True,1.1157758235931396,True
2538511.java,True,1.117112398147583,True
11988852.java,True,1.5164368152618408,True
21642957.java,True,1.0656912326812744,True
2329054.java,True,1.3161640167236328,True
12236729.java,True,0.9154524803161621,True
18616606.java,True,1.2157390117645264,True
18967837.java,True,1.3161144256591797,True
665420.java,True,1.5666282176971436,True
8561747.java,True,1.2159223556518555,True
11939185.java,True,1.2160899639129639,True
13771944.java,True,1.3161554336547852,True
10254165.java,True,1.8170485496520996,True
6368581.java,True,1.366563320159912,True
17332559.java,True,1.1156516075134277,True
6442346.java,True,1.61667799949646,True
11517213.java,True,1.1158342361450195,True
14430650.java,True,1.5164415836334229,True
14288306.java,True,1.2158441543579102,True
8249982.java,True,2.0173842906951904,True
13908.java,True,1.716773271560669,True
8005681.java,True,1.316169261932373,True
11374801.java,False,0.7151658535003662,False
4567361.java,True,1.2162046432495117,True
8075980.java,True,1.5666656494140625,True
5980224.java,True,1.6667876243591309,True
5299276.java,True,1.3161001205444336,True
7599899.java,True,1.2159299850463867,True
19565152.java,True,1.0155839920043945,True
1668091.java,True,0.7652571201324463,True
12264242.java,True,1.5666470527648926,True
19113613.java,True,1.3662199974060059,True
258490.java,True,2.0673186779022217,True
21234510.java,True,1.3160831928253174,True
17999563.java,True,1.3160970211029053,True
17143411.java,True,2.668416976928711,True
15353022.java,True,1.4192900657653809,True
20663365.java,True,1.6167066097259521,True
3778979.java,True,1.1158454418182373,True
1784150.java,True,1.2160308361053467,True
17573230.java,True,1.1156837940216064,True
12607168.java,True,1.3161208629608154,True
8054454.java,True,0.9653942584991455,True
3934146.java,True,1.3670504093170166,True
12776420.java,True,2.5180106163024902,True
7911686.java,True,1.06563401222229,True
4960417.java,True,1.0655832290649414,True
1008332.java,True,1.2658851146697998,True
9136261.java,True,1.466355800628662,True
5405559.java,True,0.865262508392334,True
6844411.java,True,1.2161846160888672,True
12694085.java,True,2.0172674655914307,True
21979715.java,True,1.2661352157592773,True
4382405.java,True,1.1658389568328857,True
15262413.java,True,3.0190157890319824,True
14495973.java,True,1.3161401748657227,True
6233042.java,True,1.316148042678833,True
1977263.java,True,1.0657217502593994,True
5813085.java,True,2.468212366104126,True
7960119.java,True,1.86745285987854,True
21803552.java,True,1.51816987991333,True
8122281.java,True,1.5165667533874512,True
9913454.java,True,1.1658272743225098,True
23264025.java,True,1.7167332172393799,True
2676362.java,True,1.2660324573516846,True
4487026.java,True,1.6667077541351318,True
18310019.java,True,1.3161451816558838,True
8912107.java,True,1.772456169128418,True
12260713.java,True,1.2159490585327148,True
2659799.java,True,1.266054391860962,True
2060356.java,True,2.1674387454986572,True
7839811.java,True,1.1157619953155518,True
9434056.java,True,1.2159557342529297,True
10912335.java,True,1.4690632820129395,True
22467291.java,True,1.8171343803405762,True
20836129.java,True,2.017484664916992,True
16005909.java,True,7.880456924438477,True
5404509.java,True,1.466972827911377,True
4147990.java,True,1.1159162521362305,True
24485.java,True,1.0656802654266357,True
11334912.java,True,1.2157566547393799,True
20860648.java,True,1.0657658576965332,True
19582152.java,True,1.1157636642456055,True
14879478.java,True,1.1157660484313965,True
22247688.java,True,1.4162375926971436,True
6098865.java,True,1.1658289432525635,True
19344618.java,True,1.3159890174865723,True
786781.java,True,1.2160005569458008,True
11484416.java,True,1.0155918598175049,True
81754.java,True,0.7650327682495117,True
3298868.java,True,2.0174331665039062,True
18781063.java,True,1.4171817302703857,True
14960335.java,True,1.2159912586212158,True
21424189.java,True,0.9656059741973877,True
11032545.java,True,1.1658542156219482,True
21808205.java,True,1.265989065170288,True
11939522.java,True,1.0656933784484863,True
21326424.java,True,1.1157455444335938,True
15634393.java,True,1.2159297466278076,True
22186637.java,True,1.1657085418701172,True
254725.java,True,3.0709421634674072,True
14974316.java,True,1.3161981105804443,True
21664404.java,True,1.2660541534423828,True
18028121.java,True,1.2160065174102783,True
11048469.java,True,1.3286843299865723,True
15609432.java,True,0.7148482799530029,True
12289756.java,True,1.4664804935455322,True
21513130.java,True,1.4668374061584473,True
4551648.java,True,1.0663692951202393,True
10173088.java,True,1.2176291942596436,True
924033.java,True,0.9655001163482666,True
765071.java,True,1.466512680053711,True
1002618.java,True,2.0795857906341553,True
19322945.java,True,1.1658039093017578,True
6045800.java,True,1.266115427017212,True
20212516.java,True,1.216001272201538,True
7532475.java,True,1.2661237716674805,True
1198670.java,True,1.616581678390503,True
8979065.java,True,1.1657228469848633,True
22622804.java,True,1.416518211364746,True
12349562.java,True,1.4164032936096191,True
3928959.java,True,0.9655790328979492,True
19178250.java,True,1.6676290035247803,True
1008329.java,True,1.5177209377288818,True
4620646.java,True,1.6170661449432373,True
4889264.java,True,1.31618070602417,True
3024984.java,True,1.2659108638763428,True
4961126.java,True,1.115809679031372,True
20125816.java,True,1.3160169124603271,True
6190160.java,True,1.0154523849487305,True
17194010.java,True,1.2659845352172852,True
4414596.java,True,1.9179699420928955,True
3217210.java,True,1.8170819282531738,True
8113080.java,True,1.5165472030639648,True
8024082.java,True,1.5164179801940918,True
10521243.java,True,1.4164094924926758,True
22135201.java,True,1.4202697277069092,True
22690093.java,True,1.1658711433410645,True
